Vivado Simulator 2017.4
Time resolution is 1 ps
Time=5000, sel=xx, seg=xx
Time=15000, sel=00, seg=00
Time=25000, sel=00, seg=00
Time=35000, sel=00, seg=00
Time=45000, sel=00, seg=00
Time=55000, sel=00, seg=00
Time=65000, sel=00, seg=00
Time=75000, sel=00, seg=00
Time=85000, sel=00, seg=00
Time=95000, sel=00, seg=00
Time=105000, sel=00, seg=00
Time=115000, sel=00, seg=00
Time=125000, sel=00, seg=00
Time=135000, sel=00, seg=00
Time=145000, sel=00, seg=00
$finish called at time : 150 ns : File "E:/Mini_Piano/Mini_Piano.srcs/sim_1/new/Light_seg_tb.v" Line 56
